[0.000000] (-) TimerEvent: {}
[0.000115] (-) JobUnselected: {'identifier': 'robot_bringup'}
[0.000163] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000198] (-) JobUnselected: {'identifier': 'robot_description'}
[0.000209] (-) JobUnselected: {'identifier': 'vox_nav_bringup'}
[0.000220] (-) JobUnselected: {'identifier': 'vox_nav_control'}
[0.000230] (-) JobUnselected: {'identifier': 'vox_nav_map_server'}
[0.000241] (-) JobUnselected: {'identifier': 'vox_nav_msgs'}
[0.000251] (-) JobUnselected: {'identifier': 'vox_nav_navigators'}
[0.000262] (-) JobUnselected: {'identifier': 'vox_nav_planning'}
[0.000272] (-) JobUnselected: {'identifier': 'vox_nav_utilities'}
[0.000282] (-) JobUnselected: {'identifier': 'vox_nav_waypoint_nav_clients'}
[0.000294] (cropmap_nav2) JobQueued: {'identifier': 'cropmap_nav2', 'dependencies': OrderedDict()}
[0.065899] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/final_navigation.rviz\n'}
[0.065940] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/carter_navigation.rviz\n'}
[0.065981] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/voxnav_navigation.rviz\n'}
[0.066022] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/carter_navigation_namespaced.rviz\n'}
[0.066063] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/package_run_dependencies/cropmap_nav2\n'}
[0.066163] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/parent_prefix_path/cropmap_nav2\n'}
[0.066207] (cropmap_nav2) StdoutLine: {'line': b'-- Installing: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/ament_prefix_path.sh\n'}
[0.066248] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/ament_prefix_path.dsv\n'}
[0.066290] (cropmap_nav2) StdoutLine: {'line': b'-- Installing: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/path.sh\n'}
[0.066331] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/path.dsv\n'}
[0.066373] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.bash\n'}
[0.066436] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.sh\n'}
[0.066477] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.zsh\n'}
[0.066518] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.dsv\n'}
[0.066560] (cropmap_nav2) StdoutLine: {'line': b'-- Installing: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/package.dsv\n'}
[0.066616] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/packages/cropmap_nav2\n'}
[0.066679] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/cmake/cropmap_nav2Config.cmake\n'}
[0.066720] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/cmake/cropmap_nav2Config-version.cmake\n'}
[0.066759] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/package.xml\n'}
[0.066983] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/lib/cropmap_nav2/safety_monitor.py\n'}
[0.068035] (cropmap_nav2) CommandEnded: {'returncode': 0}
[0.082710] (cropmap_nav2) JobEnded: {'identifier': 'cropmap_nav2', 'rc': 0}
[0.083103] (-) EventReactorShutdown: {}
