[0.000000] (-) TimerEvent: {}
[0.000491] (-) JobUnselected: {'identifier': 'robot_bringup'}
[0.000513] (-) JobUnselected: {'identifier': 'robot_control'}
[0.000528] (-) JobUnselected: {'identifier': 'robot_description'}
[0.000541] (-) JobUnselected: {'identifier': 'vox_nav_bringup'}
[0.000553] (-) JobUnselected: {'identifier': 'vox_nav_control'}
[0.000564] (-) JobUnselected: {'identifier': 'vox_nav_map_server'}
[0.000576] (-) JobUnselected: {'identifier': 'vox_nav_msgs'}
[0.000587] (-) JobUnselected: {'identifier': 'vox_nav_navigators'}
[0.000598] (-) JobUnselected: {'identifier': 'vox_nav_planning'}
[0.000609] (-) JobUnselected: {'identifier': 'vox_nav_utilities'}
[0.000620] (-) JobUnselected: {'identifier': 'vox_nav_waypoint_nav_clients'}
[0.000634] (cropmap_nav2) JobQueued: {'identifier': 'cropmap_nav2', 'dependencies': OrderedDict()}
[0.046622] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/voxnav_navigation.rviz\n'}
[0.046664] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/rviz2/carter_navigation_namespaced.rviz\n'}
[0.046707] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/package_run_dependencies/cropmap_nav2\n'}
[0.046868] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/parent_prefix_path/cropmap_nav2\n'}
[0.046964] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/ament_prefix_path.sh\n'}
[0.047008] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/ament_prefix_path.dsv\n'}
[0.047050] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/path.sh\n'}
[0.047092] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/environment/path.dsv\n'}
[0.047135] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.bash\n'}
[0.047177] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.sh\n'}
[0.047219] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.zsh\n'}
[0.047261] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/local_setup.dsv\n'}
[0.047303] (cropmap_nav2) StdoutLine: {'line': b'-- Installing: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/package.dsv\n'}
[0.047345] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/ament_index/resource_index/packages/cropmap_nav2\n'}
[0.047387] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/cmake/cropmap_nav2Config.cmake\n'}
[0.047429] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/cmake/cropmap_nav2Config-version.cmake\n'}
[0.047472] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/share/cropmap_nav2/package.xml\n'}
[0.047514] (cropmap_nav2) StdoutLine: {'line': b'-- Up-to-date: /home/manish/eiratech_ws/install/cropmap_nav2/lib/cropmap_nav2/safety_monitor.py\n'}
[0.047676] (cropmap_nav2) CommandEnded: {'returncode': 0}
[0.058984] (cropmap_nav2) JobEnded: {'identifier': 'cropmap_nav2', 'rc': 0}
[0.059329] (-) EventReactorShutdown: {}
